Model,MDO3014
Firmware Version,1.22

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-07,
Horizontal Delay,1.816e-05,
Sample Interval,4e-10,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,250
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,50
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-1.753200e-06,0,-2
-1.752800e-06,0,-2
-1.752400e-06,0,0
-1.752000e-06,0,-2
-1.751600e-06,-0.2,0
-1.751200e-06,0,-2
-1.750800e-06,0,0
-1.750400e-06,0,0
-1.750000e-06,0,0
-1.749600e-06,0,0
-1.749200e-06,0,-2
-1.748800e-06,0,-2
-1.748400e-06,0,0
-1.748000e-06,0.2,0
-1.747600e-06,0.2,-2
-1.747200e-06,0,-2
-1.746800e-06,0,-2
-1.746400e-06,0,0
-1.746000e-06,0,-2
-1.745600e-06,0.2,-2
-1.745200e-06,0,0
-1.744800e-06,0,-2
-1.744400e-06,0,0
-1.744000e-06,0,0
-1.743600e-06,0,0
-1.743200e-06,0,0
-1.742800e-06,0,0
-1.742400e-06,0.2,-2
-1.742000e-06,0.2,-2
-1.741600e-06,0,0
-1.741200e-06,0,0
-1.740800e-06,0,-2
-1.740400e-06,-0.2,-2
-1.740000e-06,0,-2
-1.739600e-06,0.2,0
-1.739200e-06,0.2,0
-1.738800e-06,0,-2
-1.738400e-06,0,0
-1.738000e-06,0,0
-1.737600e-06,0,0
-1.737200e-06,0,-2
-1.736800e-06,0,-2
-1.736400e-06,0,0
-1.736000e-06,0,0
-1.735600e-06,0,-2
-1.735200e-06,0,0
-1.734800e-06,0,0
-1.734400e-06,0,-2
-1.734000e-06,0,-2
-1.733600e-06,0,0
-1.733200e-06,0,0
-1.732800e-06,0,-2
-1.732400e-06,0,-2
-1.732000e-06,0,0
-1.731600e-06,0,-2
-1.731200e-06,0,0
-1.730800e-06,0,0
-1.730400e-06,0,-2
-1.730000e-06,0,-2
-1.729600e-06,0,-2
-1.729200e-06,0,-2
-1.728800e-06,0,-4
-1.728400e-06,0,-2
-1.728000e-06,0,2
-1.727600e-06,0,-2
-1.727200e-06,0.2,0
-1.726800e-06,0.2,-2
-1.726400e-06,0,0
-1.726000e-06,0,0
-1.725600e-06,0,-2
-1.725200e-06,0,0
-1.724800e-06,0,0
-1.724400e-06,-0.2,0
-1.724000e-06,0,0
-1.723600e-06,0.2,0
-1.723200e-06,0,0
-1.722800e-06,0,0
-1.722400e-06,0,0
-1.722000e-06,0,-2
-1.721600e-06,0,-2
-1.721200e-06,0,-2
-1.720800e-06,0,-2
-1.720400e-06,0,-2
-1.720000e-06,0,0
-1.719600e-06,0,0
-1.719200e-06,0,0
-1.718800e-06,0,0
-1.718400e-06,0,-2
-1.718000e-06,0,0
-1.717600e-06,0,0
-1.717200e-06,0,0
-1.716800e-06,0,-2
-1.716400e-06,0,-2
-1.716000e-06,0,0
-1.715600e-06,0,0
-1.715200e-06,0,0
-1.714800e-06,0,-2
-1.714400e-06,0,-2
-1.714000e-06,0,0
-1.713600e-06,0,0
